Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.6100000000,ng/m3,2016-01-01 00:00:00 +01:00,2016-02-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.2900000000,ng/m3,2016-03-01 00:00:00 +01:00,2016-04-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.0200000000,ng/m3,2016-05-01 00:00:00 +01:00,2016-06-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.8100000000,ng/m3,2016-02-01 00:00:00 +01:00,2016-03-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.0000000000,ng/m3,2016-07-01 00:00:00 +01:00,2016-08-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.1000000000,ng/m3,2016-04-01 00:00:00 +01:00,2016-05-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.0000000000,ng/m3,2016-06-01 00:00:00 +01:00,2016-07-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.1100000000,ng/m3,2016-10-01 00:00:00 +01:00,2016-11-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.5600000000,ng/m3,2016-11-01 00:00:00 +01:00,2016-12-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.0000000000,ng/m3,2016-08-01 00:00:00 +01:00,2016-09-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.0200000000,ng/m3,2016-09-01 00:00:00 +01:00,2016-10-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0110A,IE0110A,SPO.IE.IE0110ASample1_4406,SPP.IE.IE0110ASample1_4406,SAM.IE.IE0110ASAMPLE1,Chrysene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4406,var,0.5600000000,ng/m3,2016-12-01 00:00:00 +01:00,2017-01-01 00:00:00 +01:00,1,1
